Dam_Name,County,Construction_Year,Age_Years,Status,Gross_Storage_MCM,Reservoir_Area_km2,Storage_Efficiency_MCM_per_km2,Regulation_Range_m,Max_Water_Level_masl,Min_Water_Level_masl,Purpose,Latitude,Longitude,Watershed_Number,Reservoir_Number
STORGLOMVATN,Nordland,1997.0,28.0,D,3506.0,47.3,74.12262156448203,125.0,585.0,460.0,Kraftproduksjon,66.72368807917063,14.17304299256967,160.C,203.0
ENARE,Troms,1964.0,61.0,D,2584.0,1089.09,2.3726230155450883,2.3599999999999994,119.5,117.14,Kraftproduksjon,69.00593846253956,27.88935178801915,246.L,757.0
TUSTERVATN-RØSVATN,Trøndelag,1957.0,68.0,D,2309.0,218.05,10.589314377436366,12.699999999999989,383.4,370.7,Kraftproduksjon,65.78105265441093,14.075601458816593,155.C5,122.0
STORVATN (BLÅSJØ),Agder,1987.0,38.0,D,1493.0,31.96,46.71464330413016,105.0,1055.0,950.0,Kraftproduksjon,59.34652766897537,6.931649512092236,021.GD0,2195.0
SVARTEVATN,Agder,1976.0,49.0,D,1400.0,31.43,44.54342984409799,119.0,899.0,780.0,Kraftproduksjon,59.186216396578665,6.931751831412839,026.N11,378.0
MJØSA,Innlandet,1912.0,113.0,D,1312.0,375.82,3.491032941301687,3.6100000000000003,5.25,1.64,Kraftproduksjon,60.727365313113886,10.955576163610447,002.DC11,36.0
AKERSVATN,Trøndelag,1968.0,57.0,D,1276.0,42.24,30.208333333333332,43.0,523.0,480.0,Kraftproduksjon,66.16321104667779,14.395831668120149,156.2B,204.0
VATNEDALSVATN,Agder,1984.0,41.0,D,1150.0,14.49,79.36507936507937,140.0,840.0,700.0,Kraftproduksjon,59.470871256712385,7.26022576804594,021.HB1,290.0
MØSVATN,Telemark,1944.0,81.0,D,1064.0,79.1,13.45132743362832,18.5,918.5,900.0,Kraftproduksjon,59.85892160450536,8.103289500367252,016.J2,2.0
ALTEVATN,Troms,1960.0,65.0,D,1027.0,79.52,12.914989939637827,16.19999999999999,489.0,472.8,Kraftproduksjon,68.5698159932853,19.39452853314486,196.AD61,750.0
ODDATJØRN (Blåsjø),Agder,1986.0,39.0,D,861.0,23.59,36.49851632047478,125.0,1055.0,930.0,Kraftproduksjon,59.39971088663221,6.886060410772778,035.CB,2196.0
FØRREVATN (Blåsjø),Agder,1986.0,39.0,D,751.0,25.92,28.973765432098762,85.0,1055.0,970.0,Kraftproduksjon,59.34288442301126,6.795710221551056,035.4D,2197.0
KALVATN,Trøndelag,1967.0,58.0,D,706.0,28.61,24.6766864732611,43.0,564.0,521.0,Kraftproduksjon,66.22879205459328,14.915123937626529,156.BC1,196.0
ROSKREPPFJORD,Agder,1968.0,57.0,D,695.0,29.75,23.361344537815125,39.0,929.0,890.0,Kraftproduksjon,59.08913898184411,7.169992257077036,025.L30,360.0
SONGAVATN,Agder,1962.0,63.0,D,640.0,29.86,21.43335565974548,35.0,974.0,939.0,Kraftproduksjon,59.858226750762114,7.536648959671628,016.BJ,7.0
NESJØ-ESSANDSJØ,Innlandet,1971.0,54.0,D,625.0,64.83,9.640598488354158,23.0,729.0,706.0,Kraftproduksjon,63.0314575855432,11.990952117419317,123.G1,237.0
AURSJØEN,Innlandet,1956.0,69.0,D,561.0,36.76,15.261153427638739,28.200000000000045,856.0,827.8,Kraftproduksjon,62.326721745322544,8.674397756734109,104.D21,637.0
STRANDEVATN,Agder,1955.0,70.0,D,554.0,24.07,23.01620274200249,28.0,978.0,950.0,Kraftproduksjon,60.689105952514375,7.8537782009867385,012.CFD1,149.0
LANGVATNET,Nordland,1986.0,39.0,D,528.0,13.98,37.768240343347635,77.0,622.0,545.0,Kraftproduksjon,67.53391648824316,16.180663032839483,167.2B,814.0
LYNGSVATN,Agder,1975.0,50.0,D,516.0,13.03,39.60092095165004,50.0,686.4,636.4,Kraftproduksjon,59.10286366748816,6.474526959099441,033.BC,515.0
SISOVATN,Nordland,1972.0,53.0,D,498.1,14.95,33.317725752508366,56.0,671.0,615.0,Kraftproduksjon,67.32125735316784,15.911900788785337,166.D1,229.0
LIMINGEN,Trøndelag,1954.0,71.0,D,490.4,93.27,5.25785354347593,8.699999999999989,417.7,409.0,Kraftproduksjon,64.79302498444778,13.582991287373982,307.3BC10,303.0
LOMIVATN,Nordland,1981.0,44.0,D,473.0,11.38,41.56414762741652,59.299999999999955,709.3,650.0,Kraftproduksjon,67.10066635286577,16.25762287770948,164.DC,222.0
NAMSVATN,Trøndelag,2018.0,7.0,D,458.0,39.53,11.586137111054894,14.0,454.0,440.0,Kraftproduksjon,65.0069247984933,13.682563425295236,139.H11,184.0
NYHELLERVATN,Agder,1979.0,46.0,D,448.0,20.47,21.885686370298,74.0,1438.0,1364.0,Kraftproduksjon,60.80824545692693,7.719994216604122,072.EB3,422.0
TUNNSJØ,Trøndelag,1943.0,82.0,D,440.0,100.53,4.376802944394708,5.0,357.64,352.64,Kraftproduksjon,64.71225661701092,13.399745665516415,139.DC3,183.0
SYSENVATN,Agder,1979.0,46.0,D,436.0,10.47,41.642788920725884,66.0,940.0,874.0,Kraftproduksjon,60.421819675448035,7.412992123013936,050.CB,601.0
RINGEDALSVATN,Agder,1918.0,107.0,D,426.0,7.35,57.95918367346939,91.89999999999998,463.9,372.0,Kraftproduksjon,60.12239824619971,6.695078093794158,049.B10,592.0
RANDSFJORD,Innlandet,1914.0,111.0,D,408.6,140.75,2.903019538188277,3.1999999999999886,134.5,131.3,Kraftproduksjon,60.50052365934914,10.356709081544986,012.EA72,137.0
FOSSVATNET,Nordland,1987.0,38.0,D,378.0,13.69,27.61139517896275,100.0,620.0,520.0,Kraftproduksjon,67.61773385249741,16.27708056456561,167.BD,786.0
